nazwa_pociagu,data,czas_rozkladowy,opoznienie,opoznienie_netto,stacja_wyjazdu,stacja_przyjazdu,super_krawedz,data_czas_rozkładowy,mini_krawedz,czas_przejazdu_mini_krawedz,czas_przejazdu_super_krawedz,opoznienie_poczatkowe,czy_opoznienie_wyjazd,czy_opoznienie_przyjazd,rzeczywisty_czas_wyjazdu,okres_id,przejazd_id,kategoria,okresB_id
MPJ 62102/3 MORCINEK,13.03,07:10,2.0,-3.0,Brzeg,Opole Główne,"('Brzeg', 'Opole Główne')",2023-03-13 07:10:00,"('Brzeg', 'Opole Główne')",27.0,27.0,5.0,True,False,2023-03-13 06:48:00,2023-03-13 06:00:00,MPJ 62102/3 MORCINEK 2023-03-13 07:10:00,B,2023-03-13 06:00
MPJ 62102/3 MORCINEK,17.03,07:10,-4.0,-3.0,Brzeg,Opole Główne,"('Brzeg', 'Opole Główne')",2023-03-17 07:10:00,"('Brzeg', 'Opole Główne')",27.0,27.0,-1.0,False,False,2023-03-17 06:42:00,2023-03-17 06:00:00,MPJ 62102/3 MORCINEK 2023-03-17 07:10:00,B,2023-03-17 06:00
MPJ 62102/3 MORCINEK,18.03,07:10,-3.0,-1.0,Brzeg,Opole Główne,"('Brzeg', 'Opole Główne')",2023-03-18 07:10:00,"('Brzeg', 'Opole Główne')",27.0,27.0,-2.0,False,False,2023-03-18 06:41:00,2023-03-18 06:00:00,MPJ 62102/3 MORCINEK 2023-03-18 07:10:00,B,2023-03-18 06:00
MPJ 62102/3 MORCINEK,19.03,07:10,-4.0,-2.0,Brzeg,Opole Główne,"('Brzeg', 'Opole Główne')",2023-03-19 07:10:00,"('Brzeg', 'Opole Główne')",27.0,27.0,-2.0,False,False,2023-03-19 06:41:00,2023-03-19 06:00:00,MPJ 62102/3 MORCINEK 2023-03-19 07:10:00,B,2023-03-19 06:00
MPJ 62102/3 MORCINEK,20.03,07:10,0.0,-2.0,Brzeg,Opole Główne,"('Brzeg', 'Opole Główne')",2023-03-20 07:10:00,"('Brzeg', 'Opole Główne')",27.0,27.0,2.0,False,False,2023-03-20 06:45:00,2023-03-20 06:00:00,MPJ 62102/3 MORCINEK 2023-03-20 07:10:00,B,2023-03-20 06:00
MPJ 62102/3 MORCINEK,21.03,07:10,21.0,1.0,Brzeg,Opole Główne,"('Brzeg', 'Opole Główne')",2023-03-21 07:10:00,"('Brzeg', 'Opole Główne')",27.0,27.0,20.0,True,True,2023-03-21 07:03:00,2023-03-21 07:00:00,MPJ 62102/3 MORCINEK 2023-03-21 07:10:00,B,2023-03-21 06:00
MPJ 62102/3 MORCINEK,22.03,07:10,2.0,4.0,Brzeg,Opole Główne,"('Brzeg', 'Opole Główne')",2023-03-22 07:10:00,"('Brzeg', 'Opole Główne')",27.0,27.0,-2.0,False,False,2023-03-22 06:41:00,2023-03-22 06:00:00,MPJ 62102/3 MORCINEK 2023-03-22 07:10:00,B,2023-03-22 06:00
MPJ 62102/3 MORCINEK,23.03,07:10,-4.0,-3.0,Brzeg,Opole Główne,"('Brzeg', 'Opole Główne')",2023-03-23 07:10:00,"('Brzeg', 'Opole Główne')",27.0,27.0,-1.0,False,False,2023-03-23 06:42:00,2023-03-23 06:00:00,MPJ 62102/3 MORCINEK 2023-03-23 07:10:00,B,2023-03-23 06:00
MPJ 62102/3 MORCINEK,24.03,07:10,-4.0,-3.0,Brzeg,Opole Główne,"('Brzeg', 'Opole Główne')",2023-03-24 07:10:00,"('Brzeg', 'Opole Główne')",27.0,27.0,-1.0,False,False,2023-03-24 06:42:00,2023-03-24 06:00:00,MPJ 62102/3 MORCINEK 2023-03-24 07:10:00,B,2023-03-24 06:00
MPJ 81108/9 WŁÓKNIARZ,15.03,23:22,0.0,0.0,Łódź Chojny,Łódź Widzew,"('Łódź Chojny', 'Łódź Widzew')",2023-03-15 23:22:00,"('Łódź Chojny', 'Łódź Widzew')",9.0,9.0,0.0,False,False,2023-03-15 23:13:00,2023-03-15 23:00:00,MPJ 81108/9 WŁÓKNIARZ 2023-03-15 23:22:00,B,2023-03-15 22:00
