"wojewodztwo" "godzina" "srednia_l_opozn" "srednia_l_poc" "procent_opozn_poc"
"dolnośląskie" "21" 6.58333333333333 15.3333333333333 0.429347826086956
"dolnośląskie" "22" 5.33333333333333 8.08333333333333 0.65979381443299
"dolnośląskie" "23" 4.41666666666667 8 0.552083333333333
"kujawsko-pomorskie" "04" 2.16666666666667 5 0.433333333333333
"kujawsko-pomorskie" "05" 5.41666666666667 10 0.541666666666667
"kujawsko-pomorskie" "06" 7.33333333333333 11 0.666666666666667
"kujawsko-pomorskie" "07" 8.91666666666667 17.9166666666667 0.497674418604651
"kujawsko-pomorskie" "08" 16.3333333333333 26.6666666666667 0.6125
"kujawsko-pomorskie" "09" 15.6666666666667 21.75 0.720306513409962
"kujawsko-pomorskie" "10" 10.8333333333333 13 0.833333333333333
"kujawsko-pomorskie" "11" 16.6666666666667 25 0.666666666666667
"kujawsko-pomorskie" "12" 12.3333333333333 25 0.493333333333333
"kujawsko-pomorskie" "13" 14.75 20.25 0.728395061728395
"kujawsko-pomorskie" "14" 12 14.75 0.813559322033898
"kujawsko-pomorskie" "15" 16.1666666666667 25.8333333333333 0.625806451612903
"kujawsko-pomorskie" "16" 16.1666666666667 26.4166666666667 0.61198738170347
"kujawsko-pomorskie" "17" 12.5 21 0.595238095238095
"kujawsko-pomorskie" "18" 12.5 15.25 0.819672131147541
"kujawsko-pomorskie" "19" 20 28.5833333333333 0.699708454810496
"kujawsko-pomorskie" "20" 17.9166666666667 25.1666666666667 0.711920529801324
"kujawsko-pomorskie" "21" 10.75 14 0.767857142857143
"kujawsko-pomorskie" "22" 2.16666666666667 4 0.541666666666667
"kujawsko-pomorskie" "23" 0.916666666666667 2 0.458333333333333
"lubelskie" "04" 0.0833333333333333 1 0.0833333333333333
"lubelskie" "05" 1.25 10.3333333333333 0.120967741935484
"lubelskie" "06" 3 16.4166666666667 0.182741116751269
"lubelskie" "07" 10.25 24.75 0.414141414141414
"lubelskie" "08" 7.58333333333333 15 0.505555555555556
"lubelskie" "09" 7.08333333333333 22 0.321969696969697
"lubelskie" "10" 6.16666666666667 13 0.474358974358974
"lubelskie" "11" 1.75 6 0.291666666666667
"lubelskie" "12" 6.58333333333333 14 0.470238095238095
"lubelskie" "13" 4.91666666666667 14.1666666666667 0.347058823529412
"lubelskie" "14" 7.75 18.8333333333333 0.411504424778761
"lubelskie" "15" 7.16666666666667 17.5 0.40952380952381
"lubelskie" "16" 6.66666666666667 14.3333333333333 0.465116279069767
"lubelskie" "17" 6.16666666666667 9.91666666666667 0.621848739495798
"lubelskie" "18" 9.33333333333333 20.6666666666667 0.451612903225806
"lubelskie" "19" 9.83333333333333 22 0.446969696969697
"lubelskie" "20" 18.75 25 0.75
"lubelskie" "21" 12.9166666666667 18 0.717592592592593
"lubelskie" "22" 1.83333333333333 5.66666666666667 0.323529411764706
"lubelskie" "23" 0.545454545454545 2 0.272727272727273
"lubuskie" "05" 2.91666666666667 3 0.972222222222222
"lubuskie" "06" 0.166666666666667 2 0.0833333333333333
"lubuskie" "07" 6.33333333333333 7.75 0.817204301075269
"lubuskie" "08" 3.83333333333333 6.5 0.58974358974359
"lubuskie" "09" 5.91666666666667 8.25 0.717171717171717
"lubuskie" "10" 3.58333333333333 8.25 0.434343434343434
"lubuskie" "11" 6.83333333333333 10 0.683333333333333
"lubuskie" "12" 8.08333333333333 11.5 0.702898550724638
"lubuskie" "13" 6.16666666666667 11 0.560606060606061
"lubuskie" "14" 6.08333333333333 9 0.675925925925926
"lubuskie" "15" 7.41666666666667 10.75 0.689922480620155
"lubuskie" "16" 6.66666666666667 10 0.666666666666667
"lubuskie" "17" 7.5 10 0.75
"lubuskie" "18" 3.33333333333333 5 0.666666666666667
"lubuskie" "19" 7.58333333333333 12 0.631944444444444
"lubuskie" "20" 5.58333333333333 7 0.797619047619048
"lubuskie" "21" 3.66666666666667 5 0.733333333333333
"lubuskie" "22" 2.83333333333333 3 0.944444444444445
"lubuskie" "23" 1 1 1
"mazowieckie" "03" 0.625 1.875 0.333333333333333
"mazowieckie" "04" 2.58333333333333 11.8333333333333 0.21830985915493
"mazowieckie" "05" 10.6666666666667 32 0.333333333333333
"mazowieckie" "06" 23.1666666666667 46.8333333333333 0.494661921708185
