wojewodztwo,data,beta,gamma,blad
opolskie,23.03,0.30019053087171543,0.09298150236666602,0.01425021123482298
opolskie,24.03,0.24392879023552083,0.04488498871830309,0.011750028696051424
podkarpackie,13.03,0.742344847899073,0.8578679935828982,0.002765553598907966
podkarpackie,14.03,0.0,0.6139238445160434,0.001326540306693183
podkarpackie,15.03,0.8109836058666668,0.42336850940415804,0.0004132231404958677
podkarpackie,16.03,0.17936435603656783,0.6050041211262254,0.001317070218542768
podkarpackie,17.03,0.06757710440677606,0.2989623706947746,0.0005862335211187051
podkarpackie,18.03,0.29359259156230527,0.23576132762170604,0.00027631616574680444
podkarpackie,19.03,0.8177091566789341,0.5306052880426751,0.001970316566101402
podkarpackie,20.03,0.19513222280817658,0.9406464618692081,0.0005382231404958678
podkarpackie,21.03,0.2302169937085613,0.19302817013637658,0.00010330578512396714
podkarpackie,22.03,0.6951934324465068,0.9085568726957447,0.0004911704881656803
podkarpackie,23.03,0.777022577370233,0.5400751343609562,0.0011443717213023602
podkarpackie,24.03,0.21455190487325299,0.6913915978458632,0.0005945179584120983
podlaskie,13.03,0.8823904841137764,0.4734661531889658,0.004688462596869983
podlaskie,14.03,0.7819003105111686,0.15376999762454513,0.004553582044848749
podlaskie,15.03,0.015369540531380215,0.33455744880497595,0.009726155488857713
podlaskie,16.03,0.5916300408122063,0.3662398133276766,0.004625485671851594
podlaskie,17.03,0.45666370349265056,0.08339026262000926,0.004844068690427674
podlaskie,18.03,0.47052559115818715,0.11933792734462466,0.0005476132661526939
podlaskie,19.03,0.9515569708375822,0.09838043832406876,0.053646848602988954
podlaskie,20.03,0.8402662590767007,1.0,0.0011760883690708239
podlaskie,21.03,0.9322209988380404,0.4013024606611738,0.0048227712137486655
podlaskie,22.03,0.3820412155627415,0.06911333475574855,0.004647863043853031
podlaskie,23.03,0.2841158795289026,0.2976143242378667,0.008105912930474338
podlaskie,24.03,0.8860865782347571,0.43690647388539816,0.07105823420986329
pomorskie,13.03,0.9183802587893747,0.8503682487338973,0.0005151151494476188
pomorskie,14.03,0.8682375539319369,0.9281025842325069,0.0012808107299759485
pomorskie,15.03,0.6457929917799905,0.28789188618578193,0.0005767949227632512
pomorskie,16.03,0.32603849966336074,0.6755658449506965,0.0012402647482909035
pomorskie,17.03,0.6302863219333805,0.7891782984668889,0.0009051465523857945
pomorskie,18.03,0.7222541578452883,0.8840341898500077,0.0021281930975874047
pomorskie,19.03,0.3372022772529155,0.7270412404128677,0.0011482046811274143
pomorskie,20.03,0.4731810979600616,0.4934425160318563,0.0007435146717416531
pomorskie,21.03,0.9594848379585925,0.9001481307130734,0.0004425494581930045
pomorskie,22.03,0.5465257969690867,0.2543367006354271,0.0007429121391922949
pomorskie,23.03,0.550441394459759,0.10766941516356898,0.0007145830610340803
pomorskie,24.03,0.19171055768839146,0.7453757013453038,0.0012474877308595068
warmińsko-mazurskie,13.03,0.6447721378464462,0.4398127337909127,0.01145401296335128
warmińsko-mazurskie,14.03,0.28053835753677137,0.8099891474330665,0.0091455080412269
warmińsko-mazurskie,15.03,0.20525156460455557,0.42544269345619656,0.004457309612701099
warmińsko-mazurskie,16.03,0.3238502297944642,0.785215762778741,0.003577401616964865
warmińsko-mazurskie,17.03,0.5932122792658994,0.9597913644488898,0.003405646344629198
warmińsko-mazurskie,18.03,0.10410151929498446,0.08369364144832045,0.0009302124993459499
warmińsko-mazurskie,19.03,0.3983470619984699,0.21075290381452638,0.0012117167809389555
