nazwa_pociagu,data,czas_rozkladowy,opoznienie,opoznienie_netto,stacja_wyjazdu,stacja_przyjazdu,super_krawedz,data_czas_rozkładowy,mini_krawedz,czas_przejazdu_mini_krawedz,czas_przejazdu_super_krawedz,opoznienie_poczatkowe,czy_opoznienie_wyjazd,czy_opoznienie_przyjazd,rzeczywisty_czas_wyjazdu,okres_id,warte_uwagi
EIE 2701/0 HETMAN,16.03,09:23,9.0,0.0,Rudnik nad Sanem,Nowa Sarzyna,"('Stalowa Wola Rozwadów', 'Leżajsk')",2023-03-16 09:23:00,"('Rudnik nad Sanem', 'Nowa Sarzyna')",16.0,77.0,9.0,True,True,2023-03-16 09:16:00,2023-03-16 09:00,True
EIE 2701/0 HETMAN,16.03,09:32,10.0,1.0,Nowa Sarzyna,Leżajsk,"('Stalowa Wola Rozwadów', 'Leżajsk')",2023-03-16 09:32:00,"('Nowa Sarzyna', 'Leżajsk')",9.0,77.0,9.0,True,True,2023-03-16 09:32:00,2023-03-16 09:00,True
EIE 2701/0 HETMAN,16.03,09:32,10.0,1.0,Nowa Sarzyna,Leżajsk,"('Stalowa Wola Rozwadów', 'Leżajsk')",2023-03-16 09:32:00,"('Nowa Sarzyna', 'Leżajsk')",9.0,77.0,9.0,True,True,2023-03-16 09:32:00,2023-03-16 09:00,True
EIE 2701/0 HETMAN,19.03,17:20,7.0,-6.0,Rokitki,Leszno Górne,"('Legnica', 'Zielona Góra Główna')",2023-03-19 17:20:00,"('Rokitki', 'Leszno Górne')",27.0,172.0,13.0,True,True,2023-03-19 17:06:00,2023-03-19 17:00,True
EIE 2701/0 HETMAN,19.03,17:39,3.0,-4.0,Leszno Górne,Małomice,"('Legnica', 'Zielona Góra Główna')",2023-03-19 17:39:00,"('Leszno Górne', 'Małomice')",19.0,172.0,7.0,True,False,2023-03-19 17:27:00,2023-03-19 17:00,True
EIE 2701/0 HETMAN,19.03,17:50,4.0,1.0,Małomice,Żagań,"('Legnica', 'Zielona Góra Główna')",2023-03-19 17:50:00,"('Małomice', 'Żagań')",11.0,172.0,3.0,False,False,2023-03-19 17:42:00,2023-03-19 17:00,True
EIE 2701/0 HETMAN,19.03,18:02,6.0,2.0,Żagań,Żary,"('Legnica', 'Zielona Góra Główna')",2023-03-19 18:02:00,"('Żagań', 'Żary')",12.0,172.0,4.0,False,True,2023-03-19 17:54:00,2023-03-19 17:00,True
EIE 3512/3 PIAST,13.03,15:21,5.0,0.0,Oborniki Śląskie,Żmigród,"('Oborniki Śląskie', 'Leszno')",2023-03-13 15:21:00,"('Oborniki Śląskie', 'Żmigród')",13.0,42.0,5.0,True,True,2023-03-13 15:13:00,2023-03-13 15:00,True
EIE 3512/3 PIAST,13.03,15:32,4.0,-1.0,Żmigród,Rawicz,"('Oborniki Śląskie', 'Leszno')",2023-03-13 15:32:00,"('Żmigród', 'Rawicz')",11.0,42.0,5.0,True,False,2023-03-13 15:26:00,2023-03-13 15:00,True
EIE 3512/3 PIAST,13.03,15:50,1.0,-3.0,Rawicz,Leszno,"('Oborniki Śląskie', 'Leszno')",2023-03-13 15:50:00,"('Rawicz', 'Leszno')",18.0,42.0,4.0,False,False,2023-03-13 15:36:00,2023-03-13 15:00,True
EIE 3512/3 PIAST,13.03,20:05,7.0,1.0,Gdańsk Główny,Gdańsk Wrzeszcz,"('Gdańsk Główny', 'Gdynia Główna')",2023-03-13 20:05:00,"('Gdańsk Główny', 'Gdańsk Wrzeszcz')",10.0,33.0,6.0,True,True,2023-03-13 20:01:00,2023-03-13 20:00,True
EIE 3512/3 PIAST,13.03,20:10,7.0,0.0,Gdańsk Wrzeszcz,Gdańsk Oliwa,"('Gdańsk Główny', 'Gdynia Główna')",2023-03-13 20:10:00,"('Gdańsk Wrzeszcz', 'Gdańsk Oliwa')",7.0,33.0,7.0,True,True,2023-03-13 20:10:00,2023-03-13 20:00,True
EIE 3512/3 PIAST,13.03,20:15,7.0,0.0,Gdańsk Oliwa,Sopot,"('Gdańsk Główny', 'Gdynia Główna')",2023-03-13 20:15:00,"('Gdańsk Oliwa', 'Sopot')",6.0,33.0,7.0,True,True,2023-03-13 20:16:00,2023-03-13 20:00,True
EIE 3512/3 PIAST,13.03,20:25,6.0,-1.0,Sopot,Gdynia Główna,"('Gdańsk Główny', 'Gdynia Główna')",2023-03-13 20:25:00,"('Sopot', 'Gdynia Główna')",10.0,33.0,7.0,True,True,2023-03-13 20:22:00,2023-03-13 20:00,True
EIE 3512/3 PIAST,14.03,20:05,59.0,3.0,Gdańsk Główny,Gdańsk Wrzeszcz,"('Gdańsk Główny', 'Gdynia Główna')",2023-03-14 20:05:00,"('Gdańsk Główny', 'Gdańsk Wrzeszcz')",10.0,33.0,56.0,True,True,2023-03-14 20:51:00,2023-03-14 20:00,True
EIE 3512/3 PIAST,14.03,20:10,59.0,0.0,Gdańsk Wrzeszcz,Gdańsk Oliwa,"('Gdańsk Główny', 'Gdynia Główna')",2023-03-14 20:10:00,"('Gdańsk Wrzeszcz', 'Gdańsk Oliwa')",7.0,33.0,59.0,True,True,2023-03-14 21:02:00,2023-03-14 21:00,True
EIE 3512/3 PIAST,14.03,20:15,59.0,0.0,Gdańsk Oliwa,Sopot,"('Gdańsk Główny', 'Gdynia Główna')",2023-03-14 20:15:00,"('Gdańsk Oliwa', 'Sopot')",6.0,33.0,59.0,True,True,2023-03-14 21:08:00,2023-03-14 21:00,True
EIE 3512/3 PIAST,14.03,20:25,58.0,-1.0,Sopot,Gdynia Główna,"('Gdańsk Główny', 'Gdynia Główna')",2023-03-14 20:25:00,"('Sopot', 'Gdynia Główna')",10.0,33.0,59.0,True,True,2023-03-14 21:14:00,2023-03-14 21:00,True
EIE 3512/3 PIAST,15.03,20:10,1.0,0.0,Gdańsk Wrzeszcz,Gdańsk Oliwa,"('Gdańsk Główny', 'Gdynia Główna')",2023-03-15 20:10:00,"('Gdańsk Wrzeszcz', 'Gdańsk Oliwa')",7.0,33.0,1.0,False,False,2023-03-15 20:04:00,2023-03-15 20:00,True
EIE 3512/3 PIAST,15.03,20:15,1.0,0.0,Gdańsk Oliwa,Sopot,"('Gdańsk Główny', 'Gdynia Główna')",2023-03-15 20:15:00,"('Gdańsk Oliwa', 'Sopot')",6.0,33.0,1.0,False,False,2023-03-15 20:10:00,2023-03-15 20:00,True
