wojewodztwo,data,beta,gamma,blad
lubelskie,22.03,0.9542898931147192,0.669662391437139,0.025845669596962616
lubelskie,23.03,0.6995163339523516,0.23309200358932014,0.025039552746685297
lubelskie,24.03,0.9870919349231849,1.0,0.035345879958269134
lubuskie,13.03,1.0,0.9646373689814143,0.06169518562906662
lubuskie,14.03,0.9707860067096662,0.9133148151489051,0.021523669170801906
lubuskie,15.03,0.9881701216975906,0.8927594833466348,0.047473841849750294
lubuskie,16.03,0.7341359815609036,0.6855692620085609,0.049361730370359944
lubuskie,17.03,1.0,0.9646623241531787,0.05487986593439421
lubuskie,18.03,1.0,0.9250897397718358,0.056524019895952925
lubuskie,19.03,1.0,0.9352535607621316,0.07391178736121366
lubuskie,20.03,0.9325359899664524,0.861636780965934,0.049665197616307034
lubuskie,21.03,0.6680030335463195,0.6150097627655785,0.03529073086582287
lubuskie,22.03,1.0,0.9548715510782744,0.04280507208765876
lubuskie,23.03,0.9598755556092545,0.8368491233857573,0.037516824015671066
lubuskie,24.03,0.9730299453376378,0.8408956011934051,0.03261449229672762
mazowieckie,13.03,0.7213011499316875,0.8813461527600667,0.12252956623924652
mazowieckie,14.03,0.1484891992284606,0.5017580235586114,0.13906268262059987
mazowieckie,15.03,0.9933382216346707,0.9503042171197418,0.005199031232416719
mazowieckie,16.03,1.0,0.8994222417536291,0.028019501963496965
mazowieckie,17.03,0.22580747396425582,0.12807554323992618,0.11606467881259773
mazowieckie,18.03,0.9774733735273722,0.932120077391866,0.0062544510686395926
mazowieckie,19.03,0.9659011917309696,0.5730597473311919,0.07572602064457391
mazowieckie,20.03,0.8117942917250018,0.010686693587237582,0.10956904947567514
mazowieckie,21.03,0.010070874844655221,0.37585481911682755,0.07854475420314747
mazowieckie,22.03,1.0,0.9207408804689651,0.008951211862600316
mazowieckie,23.03,0.43603234632835314,0.2018137773227447,0.09334869185886982
mazowieckie,24.03,0.7781947039200993,0.5382149292505802,0.10929625912993893
małopolskie,13.03,0.9220858280544466,0.8606642531500579,0.06924714097465892
małopolskie,14.03,0.19058603222939374,0.5536403707961793,0.0837547962125834
małopolskie,15.03,1.0,0.7440057873447228,0.013936765749685725
małopolskie,16.03,1.0,0.7143576809351151,0.014625811843467007
małopolskie,17.03,1.0,0.743182580125723,0.02791405442283875
małopolskie,18.03,0.9626376923271956,0.6998442359850194,0.07079226337196567
małopolskie,19.03,0.2668805242496017,0.3751970303926955,0.06112568837391413
