nazwa_pociagu,data,czas_rozkladowy,opoznienie,opoznienie_netto,stacja_wyjazdu,stacja_przyjazdu,super_krawedz,data_czas_rozkładowy,mini_krawedz,czas_przejazdu_mini_krawedz,czas_przejazdu_super_krawedz,opoznienie_poczatkowe,czy_opoznienie_wyjazd,czy_opoznienie_przyjazd,rzeczywisty_czas_wyjazdu,okres_id
EIE 5122/3 MAZURY,17.03,21:47,30.0,-1.0,Łódź Widzew,Łódź Fabryczna,"('Łódź Widzew', 'Łódź Fabryczna')",2023-03-17 21:47:00,"('Łódź Widzew', 'Łódź Fabryczna')",9.0,9.0,31.0,True,True,2023-03-17 22:09:00,2023-03-17 22:00
EIE 5122/3 MAZURY,19.03,21:38,26.0,0.0,Koluszki,Łódź Widzew,"('Koluszki', 'Łódź Widzew')",2023-03-19 21:38:00,"('Koluszki', 'Łódź Widzew')",15.0,15.0,26.0,True,True,2023-03-19 21:49:00,2023-03-19 21:00
EIE 5122/3 MAZURY,19.03,21:47,25.0,-1.0,Łódź Widzew,Łódź Fabryczna,"('Łódź Widzew', 'Łódź Fabryczna')",2023-03-19 21:47:00,"('Łódź Widzew', 'Łódź Fabryczna')",9.0,9.0,26.0,True,True,2023-03-19 22:04:00,2023-03-19 22:00
EIE 5122/3 MAZURY,20.03,20:24,26.0,-1.0,Warszawa Gdańska,Warszawa Młynów,"('Warszawa Gdańska', 'Warszawa Zachodnia peron 9')",2023-03-20 20:24:00,"('Warszawa Gdańska', 'Warszawa Młynów')",8.0,12.0,27.0,True,True,2023-03-20 20:43:00,2023-03-20 20:00
EIE 5122/3 MAZURY,20.03,20:28,27.0,1.0,Warszawa Młynów,Warszawa Zachodnia peron 9,"('Warszawa Gdańska', 'Warszawa Zachodnia peron 9')",2023-03-20 20:28:00,"('Warszawa Młynów', 'Warszawa Zachodnia peron 9')",4.0,12.0,26.0,True,True,2023-03-20 20:50:00,2023-03-20 20:00
EIE 5122/3 MAZURY,20.03,21:47,41.0,-1.0,Łódź Widzew,Łódź Fabryczna,"('Łódź Widzew', 'Łódź Fabryczna')",2023-03-20 21:47:00,"('Łódź Widzew', 'Łódź Fabryczna')",9.0,9.0,42.0,True,True,2023-03-20 22:20:00,2023-03-20 22:00
EIE 5122/3 MAZURY,21.03,21:47,71.0,-2.0,Łódź Widzew,Łódź Fabryczna,"('Łódź Widzew', 'Łódź Fabryczna')",2023-03-21 21:47:00,"('Łódź Widzew', 'Łódź Fabryczna')",9.0,9.0,73.0,True,True,2023-03-21 22:51:00,2023-03-21 22:00
EIE 5312/3 PIAST,13.03,07:56,0.0,0.0,Gdynia Główna,Sopot,"('Gdynia Główna', 'Gdańsk Główny')",2023-03-13 07:56:00,"('Gdynia Główna', 'Sopot')",10.0,27.0,0.0,False,False,2023-03-13 07:46:00,2023-03-13 07:00
EIE 5312/3 PIAST,13.03,08:02,0.0,0.0,Sopot,Gdańsk Oliwa,"('Gdynia Główna', 'Gdańsk Główny')",2023-03-13 08:02:00,"('Sopot', 'Gdańsk Oliwa')",5.0,27.0,0.0,False,False,2023-03-13 07:57:00,2023-03-13 07:00
EIE 5312/3 PIAST,13.03,08:08,0.0,0.0,Gdańsk Oliwa,Gdańsk Wrzeszcz,"('Gdynia Główna', 'Gdańsk Główny')",2023-03-13 08:08:00,"('Gdańsk Oliwa', 'Gdańsk Wrzeszcz')",6.0,27.0,0.0,False,False,2023-03-13 08:02:00,2023-03-13 08:00
